CorrVar1,CorrVar2,Value
rods,metamyelocytes,0.39884
basophils,eosinophils,0.38473
creatinine,direct_bilirubin,0.38233
gamma_glutamyltransferase,total_bilirubin,0.37621
rods,myelocytes,0.37370
aspartate_transaminase,lactic_dehydrogenase,0.36244
leukocytes,proteina_c_reativa_mg_dl,0.36073
pco2_venous_blood_gas_analysis,base_excess_venous_blood_gas_analysis,0.35833
ionized_calcium,arterial_lactic_acid,0.34629
direct_bilirubin,ferritin,0.34612
aspartate_transaminase,relationship_patient_normal,0.33780
metamyelocytes,urine_red_blood_cells,0.33778
aspartate_transaminase,alkaline_phosphatase,0.33580
creatinine,gamma_glutamyltransferase,0.33532
ionized_calcium,phosphor,0.33465
red_blood_cell_distribution_width_rdw,direct_bilirubin,0.33325
total_bilirubin,ferritin,0.33155
urea,base_excess_venous_blood_gas_analysis,0.32745
urea,total_bilirubin,0.31920
urine_ph,urine_leukocytes,0.31867
creatinine,base_excess_venous_blood_gas_analysis,0.31684
monocytes,promyelocytes,0.31575
ph_arterial_blood_gas_analysis,po2_arterial_blood_gas_analysis,0.30991
creatinine,hco3_venous_blood_gas_analysis,0.30062
proteina_c_reativa_mg_dl,metamyelocytes,0.29595
creatinine,total_co2_venous_blood_gas_analysis,0.29542
arterial_lactic_acid,phosphor,0.29360
creatinine,total_bilirubin,0.29142
base_excess_arterial_blood_gas_analysis,total_co2_arterial_blood_gas_analysis,0.28989
urea,myelocytes,0.28246
urea,hco3_venous_blood_gas_analysis,0.27902
patient_addmited_to_intensive_care_unit_1_yes_0_no,proteina_c_reativa_mg_dl,0.27621
alanine_transaminase,direct_bilirubin,0.27529
phosphor,cto2_arterial_blood_gas_analysis,0.27215
patient_addmited_to_intensive_care_unit_1_yes_0_no,leukocytes,0.27050
urea,total_co2_venous_blood_gas_analysis,0.26885
arterial_lactic_acid,pco2_arterial_blood_gas_analysis,0.26805
aspartate_transaminase,gamma_glutamyltransferase,0.26701
total_co2_arterial_blood_gas_analysis,arteiral_fio2,0.26632
urea,sodium,0.26584
leukocytes,po2_venous_blood_gas_analysis,0.26534
po2_arterial_blood_gas_analysis,cto2_arterial_blood_gas_analysis,0.26371
leukocytes,neutrophils,0.26257
hb_saturation_venous_blood_gas_analysis,ph_venous_blood_gas_analysis,0.26169
red_blood_cell_distribution_width_rdw,urea,0.26096
red_blood_cell_distribution_width_rdw,gamma_glutamyltransferase,0.25735
aspartate_transaminase,direct_bilirubin,0.25646
hemoglobin,promyelocytes,0.25617
hematocrit,promyelocytes,0.25566
proteina_c_reativa_mg_dl,myelocytes,0.25386
indirect_bilirubin,ferritin,0.24871
lactic_dehydrogenase,ferritin,0.24860
gamma_glutamyltransferase,ph_venous_blood_gas_analysis,0.24637
gamma_glutamyltransferase,base_excess_venous_blood_gas_analysis,0.24436
relationship_patient_normal,international_normalized_ratio_inr,0.24256
leukocytes,segmented,0.24184
patient_addmited_to_intensive_care_unit_1_yes_0_no,rods,0.24066
direct_bilirubin,myelocytes,0.23942
leukocytes,hb_saturation_venous_blood_gas_analysis,0.23764
red_blood_cell_distribution_width_rdw,ferritin,0.23650
monocytes,ferritin,0.23613
red_blood_cell_distribution_width_rdw,proteina_c_reativa_mg_dl,0.23608
total_bilirubin,myelocytes,0.23589
leukocytes,arteiral_fio2,0.23519
urea,magnesium,0.23354
patient_addmited_to_intensive_care_unit_1_yes_0_no,arteiral_fio2,0.23292
red_blood_cell_distribution_width_rdw,creatinine,0.23249
sodium,hb_saturation_arterial_blood_gases,0.23230
proteina_c_reativa_mg_dl,arteiral_fio2,0.23224
alanine_transaminase,rods,0.22676
creatinine,arteiral_fio2,0.22596
rods,arteiral_fio2,0.22564
gamma_glutamyltransferase,magnesium,0.22545
indirect_bilirubin,urine_red_blood_cells,0.22268
metamyelocytes,arteiral_fio2,0.22189
hb_saturation_arterial_blood_gases,ph_arterial_blood_gas_analysis,0.22112
hemoglobin,cto2_arterial_blood_gas_analysis,0.21972
urea,metamyelocytes,0.21798
patient_addmited_to_intensive_care_unit_1_yes_0_no,platelets,0.21410
neutrophils,proteina_c_reativa_mg_dl,0.21276
hematocrit,creatinine,0.21271
urea,ph_venous_blood_gas_analysis,0.21248
direct_bilirubin,magnesium,0.21121
patient_addmited_to_intensive_care_unit_1_yes_0_no,urea,0.21106
hemoglobin,creatinine,0.20843
hemoglobin,mean_corpuscular_hemoglobin_mch,0.20684
hematocrit,cto2_arterial_blood_gas_analysis,0.20636
patient_addmited_to_intensive_care_unit_1_yes_0_no,total_co2_arterial_blood_gas_analysis,0.20630
red_blood_cell_distribution_width_rdw,total_bilirubin,0.20619
gamma_glutamyltransferase,myelocytes,0.20481
proteina_c_reativa_mg_dl,segmented,0.20071
creatinine,ferritin,0.20034
lymphocytes,basophils,0.19909
sodium,hco3_venous_blood_gas_analysis,0.19841
red_blood_cells,promyelocytes,0.19805
sodium,total_co2_venous_blood_gas_analysis,0.19690
patient_addmited_to_intensive_care_unit_1_yes_0_no,hco3_arterial_blood_gas_analysis,0.19662
red_blood_cells,cto2_arterial_blood_gas_analysis,0.19619
red_blood_cell_distribution_width_rdw,serum_glucose,0.19602
eosinophils,sodium,0.19476
hematocrit,mean_corpuscular_hemoglobin_concentration_mchc,0.19433
hco3_arterial_blood_gas_analysis,arteiral_fio2,0.19404
direct_bilirubin,base_excess_venous_blood_gas_analysis,0.19267
arterial_lactic_acid,total_co2_arterial_blood_gas_analysis,0.19255
sodium,gamma_glutamyltransferase,0.19226
mean_corpuscular_volume_mcv,total_co2_venous_blood_gas_analysis,0.19163
patient_addmited_to_semi_intensive_unit_1_yes_0_no,myelocytes,0.19162
mean_corpuscular_volume_mcv,hco3_venous_blood_gas_analysis,0.19123
mean_corpuscular_volume_mcv,base_excess_venous_blood_gas_analysis,0.19123
ionized_calcium,total_co2_arterial_blood_gas_analysis,0.19108
sodium,direct_bilirubin,0.19099
leukocytes,pco2_arterial_blood_gas_analysis,0.18901
total_bilirubin,urine_red_blood_cells,0.18884
gamma_glutamyltransferase,alkaline_phosphatase,0.18849
patient_addmited_to_intensive_care_unit_1_yes_0_no,gamma_glutamyltransferase,0.18841
patient_addmited_to_semi_intensive_unit_1_yes_0_no,proteina_c_reativa_mg_dl,0.18817
sodium,base_excess_venous_blood_gas_analysis,0.18777
patient_addmited_to_semi_intensive_unit_1_yes_0_no,serum_glucose,0.18755
gamma_glutamyltransferase,hco3_venous_blood_gas_analysis,0.18692
leukocytes,alkaline_phosphatase,0.18650
patient_addmited_to_intensive_care_unit_1_yes_0_no,red_blood_cell_distribution_width_rdw,0.18548
alanine_transaminase,total_bilirubin,0.18393
platelets,potassium,0.18354
basophils,total_co2_venous_blood_gas_analysis,0.18280
eosinophils,promyelocytes,0.18253
indirect_bilirubin,myelocytes,0.18234
patient_addmited_to_intensive_care_unit_1_yes_0_no,po2_venous_blood_gas_analysis,0.18163
lymphocytes,eosinophils,0.18148
urea,segmented,0.18028
basophils,hco3_venous_blood_gas_analysis,0.17994
proteina_c_reativa_mg_dl,direct_bilirubin,0.17770
creatinine,metamyelocytes,0.17745
gamma_glutamyltransferase,total_co2_venous_blood_gas_analysis,0.17511
proteina_c_reativa_mg_dl,aspartate_transaminase,0.17346
patient_addmited_to_intensive_care_unit_1_yes_0_no,pco2_venous_blood_gas_analysis,0.17158
patient_addmited_to_intensive_care_unit_1_yes_0_no,direct_bilirubin,0.17101
direct_bilirubin,hco3_venous_blood_gas_analysis,0.17030
urea,hco3_arterial_blood_gas_analysis,0.16941
proteina_c_reativa_mg_dl,creatinine,0.16794
aspartate_transaminase,rods,0.16757
eosinophils,ionized_calcium,0.16755
patient_addmited_to_semi_intensive_unit_1_yes_0_no,urine_red_blood_cells,0.16688
platelets,alkaline_phosphatase,0.16600
alkaline_phosphatase,po2_venous_blood_gas_analysis,0.16591
direct_bilirubin,lactic_dehydrogenase,0.16551
patient_addmited_to_intensive_care_unit_1_yes_0_no,alanine_transaminase,0.16537
promyelocytes,ph_arterial_blood_gas_analysis,0.16449
hematocrit,basophils,0.16419
serum_glucose,hb_saturation_venous_blood_gas_analysis,0.16418
patient_addmited_to_intensive_care_unit_1_yes_0_no,segmented,0.16324
direct_bilirubin,total_co2_venous_blood_gas_analysis,0.16235
mean_corpuscular_hemoglobin_mch,base_excess_venous_blood_gas_analysis,0.16175
segmented,ph_arterial_blood_gas_analysis,0.16132
arterial_lactic_acid,hco3_arterial_blood_gas_analysis,0.16104
hemoglobin,basophils,0.16075
gamma_glutamyltransferase,segmented,0.15927
serum_glucose,po2_venous_blood_gas_analysis,0.15916
patient_addmited_to_intensive_care_unit_1_yes_0_no,aspartate_transaminase,0.15892
patient_addmited_to_regular_ward_1_yes_0_no,urine_ph,0.15796
po2_venous_blood_gas_analysis,segmented,0.15762
red_blood_cell_distribution_width_rdw,total_co2_arterial_blood_gas_analysis,0.15762
patient_addmited_to_semi_intensive_unit_1_yes_0_no,po2_venous_blood_gas_analysis,0.15753
creatinine,indirect_bilirubin,0.15708
basophils,base_excess_venous_blood_gas_analysis,0.15664
urea,total_co2_arterial_blood_gas_analysis,0.15657
proteina_c_reativa_mg_dl,urine_red_blood_cells,0.15650
arteiral_fio2,phosphor,0.15648
mean_corpuscular_volume_mcv,urea,0.15556
arterial_lactic_acid,cto2_arterial_blood_gas_analysis,0.15507
direct_bilirubin,metamyelocytes,0.15399
rods,urine_red_blood_cells,0.15380
platelets,eosinophils,0.15374
mean_corpuscular_hemoglobin_mch,creatinine,0.15285
patient_addmited_to_semi_intensive_unit_1_yes_0_no,hb_saturation_venous_blood_gas_analysis,0.15277
patient_addmited_to_semi_intensive_unit_1_yes_0_no,alkaline_phosphatase,0.15212
mean_corpuscular_volume_mcv,pco2_arterial_blood_gas_analysis,0.15199
leukocytes,red_blood_cell_distribution_width_rdw,0.15174
mean_corpuscular_volume_mcv,arteiral_fio2,0.15112
red_blood_cell_distribution_width_rdw,pco2_arterial_blood_gas_analysis,0.14903
mean_platelet_volume,creatinine,0.14902
magnesium,base_excess_arterial_blood_gas_analysis,0.14801
gamma_glutamyltransferase,ferritin,0.14778
alanine_transaminase,lactic_dehydrogenase,0.14767
mean_corpuscular_volume_mcv,creatinine,0.14750
mean_corpuscular_hemoglobin_concentration_mchc,cto2_arterial_blood_gas_analysis,0.14747
proteina_c_reativa_mg_dl,alanine_transaminase,0.14718
patient_addmited_to_intensive_care_unit_1_yes_0_no,pco2_arterial_blood_gas_analysis,0.14491
creatinine,myelocytes,0.14383
total_bilirubin,lactic_dehydrogenase,0.14363
red_blood_cells,basophils,0.14329
red_blood_cell_distribution_width_rdw,hco3_arterial_blood_gas_analysis,0.14231
basophils,monocytes,0.14211
mean_corpuscular_hemoglobin_mch,hco3_venous_blood_gas_analysis,0.14110
hematocrit,hco3_venous_blood_gas_analysis,0.14058
mean_platelet_volume,urea,0.14037
alkaline_phosphatase,hb_saturation_venous_blood_gas_analysis,0.14002
proteina_c_reativa_mg_dl,gamma_glutamyltransferase,0.13961
mean_corpuscular_hemoglobin_mch,international_normalized_ratio_inr,0.13926
patient_addmited_to_semi_intensive_unit_1_yes_0_no,leukocytes,0.13926
hematocrit,total_co2_venous_blood_gas_analysis,0.13815
mean_corpuscular_hemoglobin_mch,ionized_calcium,0.13803
mean_corpuscular_hemoglobin_mch,total_co2_venous_blood_gas_analysis,0.13802
patient_addmited_to_regular_ward_1_yes_0_no,ferritin,0.13784
ph_venous_blood_gas_analysis,myelocytes,0.13699
creatinine,international_normalized_ratio_inr,0.13689
urea,urine_red_blood_cells,0.13677
gamma_glutamyltransferase,metamyelocytes,0.13671
mean_corpuscular_hemoglobin_mch,pco2_arterial_blood_gas_analysis,0.13634
creatinine,urine_red_blood_cells,0.13556
ph_venous_blood_gas_analysis,promyelocytes,0.13547
po2_venous_blood_gas_analysis,ph_venous_blood_gas_analysis,0.13509
red_blood_cell_distribution_width_rdw,urine_ph,0.13505
direct_bilirubin,segmented,0.13459
hematocrit,base_excess_venous_blood_gas_analysis,0.13406
mean_corpuscular_volume_mcv,pco2_venous_blood_gas_analysis,0.13340
red_blood_cell_distribution_width_rdw,myelocytes,0.13312
patient_addmited_to_semi_intensive_unit_1_yes_0_no,red_blood_cell_distribution_width_rdw,0.13252
eosinophils,base_excess_venous_blood_gas_analysis,0.13208
urea,proteina_c_reativa_mg_dl,0.13195
creatinine,pco2_venous_blood_gas_analysis,0.13123
magnesium,ferritin,0.13105
basophils,pco2_venous_blood_gas_analysis,0.13097
red_blood_cells,creatinine,0.13089
leukocytes,rods,0.13080
sodium,po2_arterial_blood_gas_analysis,0.13068
total_bilirubin,metamyelocytes,0.13053
ph_venous_blood_gas_analysis,hco3_venous_blood_gas_analysis,0.13004
po2_venous_blood_gas_analysis,arteiral_fio2,0.12961
ionized_calcium,total_co2_venous_blood_gas_analysis,0.12951
aspartate_transaminase,total_bilirubin,0.12828
ionized_calcium,hco3_venous_blood_gas_analysis,0.12828
alanine_transaminase,ferritin,0.12800
urea,base_excess_arterial_blood_gas_analysis,0.12733
base_excess_venous_blood_gas_analysis,promyelocytes,0.12694
creatinine,urine_ph,0.12694
direct_bilirubin,alkaline_phosphatase,0.12693
creatinine,ph_venous_blood_gas_analysis,0.12692
proteina_c_reativa_mg_dl,total_bilirubin,0.12572
eosinophils,hco3_venous_blood_gas_analysis,0.12413
hemoglobin,base_excess_venous_blood_gas_analysis,0.12374
lymphocytes,ionized_calcium,0.12287
red_blood_cell_distribution_width_rdw,lactic_dehydrogenase,0.12251
hemoglobin,monocytes,0.12241
alanine_transaminase,alkaline_phosphatase,0.12191
eosinophils,total_co2_venous_blood_gas_analysis,0.12190
base_excess_venous_blood_gas_analysis,segmented,0.12168
ionized_calcium,hco3_arterial_blood_gas_analysis,0.12111
total_bilirubin,segmented,0.12035
direct_bilirubin,ph_venous_blood_gas_analysis,0.12023
platelets,pco2_arterial_blood_gas_analysis,0.11952
mean_platelet_volume,basophils,0.11945
hemoglobin,hco3_venous_blood_gas_analysis,0.11911
red_blood_cell_distribution_width_rdw,magnesium,0.11899
direct_bilirubin,international_normalized_ratio_inr,0.11877
mean_corpuscular_volume_mcv,international_normalized_ratio_inr,0.11865
creatinine,segmented,0.11824
patient_addmited_to_regular_ward_1_yes_0_no,neutrophils,0.11754
patient_addmited_to_intensive_care_unit_1_yes_0_no,total_bilirubin,0.11685
mean_platelet_volume,base_excess_venous_blood_gas_analysis,0.11641
hematocrit,monocytes,0.11615
magnesium,phosphor,0.11537
hemoglobin,total_co2_venous_blood_gas_analysis,0.11521
red_blood_cell_distribution_width_rdw,aspartate_transaminase,0.11487
relationship_patient_normal,hb_saturation_arterial_blood_gases,0.11462
mean_platelet_volume,promyelocytes,0.11446
platelets,lymphocytes,0.11416
patient_age_quantile,creatinine,0.11414
eosinophils,hb_saturation_arterial_blood_gases,0.11339
patient_addmited_to_semi_intensive_unit_1_yes_0_no,lactic_dehydrogenase,0.11301
alkaline_phosphatase,relationship_patient_normal,0.11290
mean_corpuscular_hemoglobin_mch,phosphor,0.11290
proteina_c_reativa_mg_dl,urine_ph,0.11261
serum_glucose,neutrophils,0.11189
promyelocytes,po2_arterial_blood_gas_analysis,0.11164
hb_saturation_venous_blood_gas_analysis,segmented,0.11110
potassium,urine_leukocytes,0.11107
mean_platelet_volume,ph_venous_blood_gas_analysis,0.11105
aspartate_transaminase,international_normalized_ratio_inr,0.11056
potassium,alkaline_phosphatase,0.11030
mean_corpuscular_hemoglobin_mch,arteiral_fio2,0.11010
mean_corpuscular_hemoglobin_concentration_mchc,phosphor,0.11003
mean_corpuscular_volume_mcv,ionized_calcium,0.10972
sodium,ionized_calcium,0.10916
potassium,pco2_venous_blood_gas_analysis,0.10892
patient_addmited_to_intensive_care_unit_1_yes_0_no,magnesium,0.10876
mean_corpuscular_hemoglobin_mch,urea,0.10852
patient_addmited_to_intensive_care_unit_1_yes_0_no,urine_ph,0.10850
lymphocytes,urine_leukocytes,0.10825
patient_addmited_to_intensive_care_unit_1_yes_0_no,hb_saturation_venous_blood_gas_analysis,0.10819
sodium,hco3_arterial_blood_gas_analysis,0.10809
red_blood_cells,mean_corpuscular_hemoglobin_concentration_mchc,0.10776
mean_platelet_volume,albumin,0.10730
rods,hb_saturation_arterial_blood_gases,0.10602
magnesium,ph_arterial_blood_gas_analysis,0.10574
mean_corpuscular_hemoglobin_concentration_mchc,ph_venous_blood_gas_analysis,0.10532
creatinine,creatine_phosphokinase_cpk,0.10524
sodium,total_co2_arterial_blood_gas_analysis,0.10506
creatine_phosphokinase_cpk,hco3_arterial_blood_gas_analysis,0.10456
basophils,po2_arterial_blood_gas_analysis,0.10379
potassium,arteiral_fio2,0.10321
mean_platelet_volume,sodium,0.10304
red_blood_cell_distribution_width_rdw,urine_red_blood_cells,0.10303
basophils,ph_arterial_blood_gas_analysis,0.10294
patient_addmited_to_intensive_care_unit_1_yes_0_no,international_normalized_ratio_inr,0.10288
ph_venous_blood_gas_analysis,segmented,0.10266
patient_addmited_to_semi_intensive_unit_1_yes_0_no,segmented,0.10231
red_blood_cell_distribution_width_rdw,arteiral_fio2,0.10132
aspartate_transaminase,po2_venous_blood_gas_analysis,0.10130
base_excess_venous_blood_gas_analysis,hco3_arterial_blood_gas_analysis,0.10100
total_bilirubin,international_normalized_ratio_inr,0.10078
urea,alanine_transaminase,0.10068
patient_addmited_to_semi_intensive_unit_1_yes_0_no,urea,0.10021
monocytes,creatinine,0.10020
mean_platelet_volume,urine_leukocytes,0.09991
mean_platelet_volume,arterial_lactic_acid,0.09970
relationship_patient_normal,po2_arterial_blood_gas_analysis,0.09954
hb_saturation_venous_blood_gas_analysis,arteiral_fio2,0.09948
hb_saturation_arterial_blood_gases,cto2_arterial_blood_gas_analysis,0.09943
proteina_c_reativa_mg_dl,lactic_dehydrogenase,0.09931
creatine_phosphokinase_cpk,total_co2_arterial_blood_gas_analysis,0.09925
total_bilirubin,alkaline_phosphatase,0.09876
lymphocytes,sodium,0.09852
patient_addmited_to_regular_ward_1_yes_0_no,proteina_c_reativa_mg_dl,0.09847
proteina_c_reativa_mg_dl,international_normalized_ratio_inr,0.09831
sodium,urine_leukocytes,0.09825
hematocrit,mean_platelet_volume,0.09783
red_blood_cells,creatine_phosphokinase_cpk,0.09773
eosinophils,base_excess_arterial_blood_gas_analysis,0.09754
patient_addmited_to_regular_ward_1_yes_0_no,red_blood_cell_distribution_width_rdw,0.09734
mean_corpuscular_volume_mcv,potassium,0.09727
hco3_venous_blood_gas_analysis,hco3_arterial_blood_gas_analysis,0.09663
urea,hb_saturation_arterial_blood_gases,0.09641
creatinine,sodium,0.09580
ionized_calcium,pco2_venous_blood_gas_analysis,0.09563
indirect_bilirubin,lactic_dehydrogenase,0.09547
hematocrit,mean_corpuscular_hemoglobin_mch,0.09538
serum_glucose,hco3_arterial_blood_gas_analysis,0.09526
hemoglobin,mean_platelet_volume,0.09523
total_bilirubin,urine_ph,0.09486
eosinophils,urea,0.09463
creatinine,alanine_transaminase,0.09429
ph_arterial_blood_gas_analysis,cto2_arterial_blood_gas_analysis,0.09427
direct_bilirubin,urine_red_blood_cells,0.09425
mean_corpuscular_hemoglobin_mch,ph_venous_blood_gas_analysis,0.09405
patient_age_quantile,hco3_venous_blood_gas_analysis,0.09400
patient_age_quantile,total_co2_venous_blood_gas_analysis,0.09393
total_co2_venous_blood_gas_analysis,hco3_arterial_blood_gas_analysis,0.09388
ionized_calcium,base_excess_venous_blood_gas_analysis,0.09379
mean_corpuscular_hemoglobin_concentration_mchc,mean_corpuscular_volume_mcv,0.09376
lymphocytes,pco2_arterial_blood_gas_analysis,0.09352
base_excess_venous_blood_gas_analysis,total_co2_arterial_blood_gas_analysis,0.09302
magnesium,relationship_patient_normal,0.09251
hco3_venous_blood_gas_analysis,promyelocytes,0.09207
patient_age_quantile,base_excess_venous_blood_gas_analysis,0.09207
alkaline_phosphatase,phosphor,0.09187
relationship_patient_normal,lactic_dehydrogenase,0.09163
metamyelocytes,hb_saturation_arterial_blood_gases,0.09156
hemoglobin,ph_venous_blood_gas_analysis,0.09116
patient_age_quantile,urea,0.09070
red_blood_cells,urine_density,0.09021
hco3_venous_blood_gas_analysis,total_co2_arterial_blood_gas_analysis,0.09007
leukocytes,total_co2_arterial_blood_gas_analysis,0.08982
mean_corpuscular_hemoglobin_mch,monocytes,0.08966
hb_saturation_venous_blood_gas_analysis,hco3_arterial_blood_gas_analysis,0.08925
patient_addmited_to_semi_intensive_unit_1_yes_0_no,vitamin_b12,0.08920
segmented,base_excess_arterial_blood_gas_analysis,0.08874
red_blood_cell_distribution_width_rdw,arterial_lactic_acid,0.08851
red_blood_cell_distribution_width_rdw,neutrophils,0.08826
patient_addmited_to_intensive_care_unit_1_yes_0_no,potassium,0.08825
segmented,cto2_arterial_blood_gas_analysis,0.08817
mean_corpuscular_volume_mcv,gamma_glutamyltransferase,0.08797
potassium,albumin,0.08765
total_co2_venous_blood_gas_analysis,total_co2_arterial_blood_gas_analysis,0.08761
promyelocytes,base_excess_arterial_blood_gas_analysis,0.08713
serum_glucose,total_co2_arterial_blood_gas_analysis,0.08695
potassium,po2_venous_blood_gas_analysis,0.08674
patient_addmited_to_semi_intensive_unit_1_yes_0_no,pco2_arterial_blood_gas_analysis,0.08660
urea,vitamin_b12,0.08647
eosinophils,hco3_arterial_blood_gas_analysis,0.08640
sodium,ph_venous_blood_gas_analysis,0.08615
mean_platelet_volume,hco3_venous_blood_gas_analysis,0.08594
total_co2_venous_blood_gas_analysis,promyelocytes,0.08566
hb_saturation_venous_blood_gas_analysis,total_co2_arterial_blood_gas_analysis,0.08558
proteina_c_reativa_mg_dl,po2_venous_blood_gas_analysis,0.08524
base_excess_venous_blood_gas_analysis,base_excess_arterial_blood_gas_analysis,0.08514
ph_venous_blood_gas_analysis,lipase_dosage,0.08493
indirect_bilirubin,urine_ph,0.08486
mean_corpuscular_hemoglobin_concentration_mchc,ionized_calcium,0.08481
patient_addmited_to_regular_ward_1_yes_0_no,creatinine,0.08478
patient_addmited_to_intensive_care_unit_1_yes_0_no,hb_saturation_arterial_blood_gases,0.08454
leukocytes,serum_glucose,0.08428
patient_addmited_to_semi_intensive_unit_1_yes_0_no,phosphor,0.08423
lymphocytes,potassium,0.08420
mean_platelet_volume,myelocytes,0.08413
mean_corpuscular_hemoglobin_concentration_mchc,promyelocytes,0.08412
serum_glucose,urine_ph,0.08406
indirect_bilirubin,metamyelocytes,0.08396
monocytes,pco2_arterial_blood_gas_analysis,0.08374
leukocytes,urine_leukocytes,0.08365
creatinine,magnesium,0.08351
platelets,international_normalized_ratio_inr,0.08324
indirect_bilirubin,segmented,0.08322
proteina_c_reativa_mg_dl,ferritin,0.08321
promyelocytes,hb_saturation_arterial_blood_gases,0.08310
total_bilirubin,magnesium,0.08310
platelets,phosphor,0.08301
hco3_venous_blood_gas_analysis,segmented,0.08292
base_excess_venous_blood_gas_analysis,myelocytes,0.08292
neutrophils,po2_venous_blood_gas_analysis,0.08263
mean_platelet_volume,mean_corpuscular_volume_mcv,0.08216
total_co2_venous_blood_gas_analysis,ph_venous_blood_gas_analysis,0.08204
mean_platelet_volume,lymphocytes,0.08185
direct_bilirubin,urine_ph,0.08162
myelocytes,urine_ph,0.08154
rods,segmented,0.08147
sodium,total_bilirubin,0.08144
urea,arteiral_fio2,0.08097
potassium,lactic_dehydrogenase,0.08091
mean_platelet_volume,total_co2_venous_blood_gas_analysis,0.08078
urine_density,arteiral_fio2,0.08040
pco2_venous_blood_gas_analysis,rods,0.08026
serum_glucose,magnesium,0.08018
red_blood_cell_distribution_width_rdw,metamyelocytes,0.08008
mean_platelet_volume,mean_corpuscular_hemoglobin_mch,0.08004
mean_corpuscular_volume_mcv,segmented,0.07970
neutrophils,magnesium,0.07963
serum_glucose,base_excess_arterial_blood_gas_analysis,0.07938
red_blood_cell_distribution_width_rdw,total_co2_venous_blood_gas_analysis,0.07909
mean_corpuscular_hemoglobin_mch,gamma_glutamyltransferase,0.07892
aspartate_transaminase,urine_density,0.07883
mean_platelet_volume,gamma_glutamyltransferase,0.07878
mean_corpuscular_hemoglobin_concentration_mchc,international_normalized_ratio_inr,0.07875
neutrophils,segmented,0.07867
serum_glucose,base_excess_venous_blood_gas_analysis,0.07865
eosinophils,po2_arterial_blood_gas_analysis,0.07841
neutrophils,hb_saturation_venous_blood_gas_analysis,0.07840
relationship_patient_normal,lipase_dosage,0.07831
leukocytes,phosphor,0.07827
total_co2_venous_blood_gas_analysis,segmented,0.07826
patient_addmited_to_regular_ward_1_yes_0_no,lactic_dehydrogenase,0.07804
mean_corpuscular_hemoglobin_concentration_mchc,indirect_bilirubin,0.07788
red_blood_cell_distribution_width_rdw,hco3_venous_blood_gas_analysis,0.07788
mean_platelet_volume,ionized_calcium,0.07786
hematocrit,albumin,0.07649
hematocrit,sodium,0.07617
patient_addmited_to_semi_intensive_unit_1_yes_0_no,ph_venous_blood_gas_analysis,0.07612
mean_corpuscular_hemoglobin_mch,promyelocytes,0.07606
promyelocytes,albumin,0.07585
red_blood_cells,ph_arterial_blood_gas_analysis,0.07581
platelets,arteiral_fio2,0.07571
patient_addmited_to_semi_intensive_unit_1_yes_0_no,metamyelocytes,0.07556
hemoglobin,phosphor,0.07553
segmented,international_normalized_ratio_inr,0.07539
urea,creatine_phosphokinase_cpk,0.07502
po2_venous_blood_gas_analysis,hco3_arterial_blood_gas_analysis,0.07482
total_bilirubin,base_excess_venous_blood_gas_analysis,0.07478
